D:\ProgramData\WindowsMangerProtect\ProtectWindowsManager.exe	módosult Win32/ELEX.AM kéretlen alkalmazás	Megtisztítás
D:\Users\motto\AppData\Local\Google\Chrome\User Data\Default\Extensions\oipgijiceofkdddeceikmdjledafnehk\12770.8524.6404_0\extensionData\plugins\91.js	JS/Toolbar.Crossrider.B kéretlen alkalmazás	Megtisztítás
D:\Users\motto\AppData\Roaming\Mozilla\Firefox\Profiles\3gp9b2pg.default\extensions\a338c5448f724f94af2f11@cc4cdd6788a64e7ca7d83cb2cd.com\extensionData\plugins\91.js	JS/Toolbar.Crossrider.B kéretlen alkalmazás	Megtisztítás
D:\Users\motto\AppData\Roaming\Opera Software\Opera Stable\Extensions\pmijnggdaadccmmmoofgdcaikjmkiglk\1.26.13_0\extensionData\plugins\91.js	JS/Toolbar.Crossrider.B kéretlen alkalmazás	Megtisztítás
F:\festeni\SweetImSetup.exe	módosult Win32/SweetIM.C kéretlen alkalmazás	Megtisztítás
F:\forex\forex robot\simpleforex.exe	módosult Win32/Toolbar.Conduit.B kéretlen alkalmazás	Megtisztítás
F:\mt4\uj expert\DTLite4471-0333-avg-jd.exe	Win32/JoyDownloader.D kéretlen alkalmazás	Megtisztítás
F:\portable\TotallyFreeBurner.zip	Win32/InstallMonetizer.AF kéretlen alkalmazás	Nincs művelet
F:\portable\TotallyFreeBurner\TotallyFreeBurner.exe	Win32/InstallMonetizer.AF kéretlen alkalmazás	Megtisztítás
F:\saját web\ashampoo_winoptimizer_8_e8.10_sm.exe	módosult Win32/Toolbar.Conduit.AI kéretlen alkalmazás	Megtisztítás
F:\telepitok\cbsidlm-cbsi5_3_0_96-Babylon_Toolbar_Removal_Tool-ORG-75628355.exe	módosult Win32/CNETInstaller.B kéretlen alkalmazás	Megtisztítás
F:\telepitok\cbsidlm-cbsi5_3_0_96-SweetIM_Removal_Tool-ORG-75795920.exe	módosult Win32/CNETInstaller.B kéretlen alkalmazás	Megtisztítás
F:\telepitok\Chip_Downloader_MagicISO_5.5_(build_281).exe	módosult Win32/Toolbar.Widdit.A kéretlen alkalmazás	Megtisztítás
F:\telepitok\FreeStudio.exe	módosult Win32/Toolbar.Conduit.B kéretlen alkalmazás	Megtisztítás
F:\webmentes\tibi\SoftonicDownloader_for_jeta-logo-designer.exe	Win32/SoftonicDownloader.E kéretlen alkalmazás	Megtisztítás
G:\$RECYCLE.BIN\S-1-5-21-3287146046-2735104617-2907859065-1000\$R961CLO.zip	Win32/Somoto.A kéretlen alkalmazás	Nincs művelet
G:\letöltések_C\nsinstall.exe	módosult Win32/Trackware.Gemius kéretlen alkalmazás	Nincs művelet
G:\nm_FILMEK\bsplayer262.1068.exe	Win32/Toolbar.Conduit.Y kéretlen alkalmazás	Megtisztítás
G:\pendrive\prog\bsplayer262.1068.exe	Win32/Toolbar.Conduit.Y kéretlen alkalmazás	Megtisztítás
G:\torrent\AIDA64-EE_v2.70.2250_Portable\aida64.exe	Win32/Sality.NBA vírus	Nincs művelet
G:\visual\jZipSetup.exe	módosult Win32/Toolbar.SearchSuite.J kéretlen alkalmazás	Megtisztítás
G:\visual\WorldUnlock_v44_Setup.zip	Win32/Somoto.A kéretlen alkalmazás	Nincs művelet
